Auteur,Date,Commentaire,Note
Martine | France | 11/11/2024,2024-11-11T20:24:48+0100,J’avais les mm il y a 4 ans que j’ai usé ou presque je n’arrive pas à les jeter. J’ai repris le mm modèle XT 7 pour le maintien les semelles intérieur la légèreté l’accroche marche nature terre etc très très bon produit et j’ai fait énormément de sport dont des exped au loin,5/5
samia | France | 10/11/2024,2024-11-10T21:42:08+0100,"je rachète chaque fois la même marque, je recommande.",4/5
Corinne | Femme | France | 10/11/2024,2024-11-10T10:08:58+0100,"J'utilise ces chaussures pour la vie de tous les jours, et j'en suis tout à fait satisfaite. Je les ai depuis 6 mois et elles sont toujours en parfait état. Je les utilise aussi ponctuellement pour des balades, aucun problème.",5/5
Catherine | France | 09/11/2024,2024-11-09T20:20:44+0100,Trés bonne chaussures,5/5
Sylvie | Femme | France | 09/11/2024,2024-11-09T17:06:09+0100,"Chaussures très confortables, qui passent partout.",5/5
Stephanie | France | 08/11/2024,2024-11-08T18:43:30+0100,parfait pour la course a pied 3 fois par semaine,5/5
marion | Femme | France | 08/11/2024,2024-11-08T16:45:57+0100,Respirabilite et confort,5/5
JOLANTA | France | 07/11/2024,2024-11-07T21:58:33+0100,"Produits testé sur une course à pied de 10 km. Très confortable, aucun souci après cette distance.",5/5
Martial | France | 07/11/2024,2024-11-07T20:07:22+0100,"chaussures agréables à porter, mais je trouve qu'elles ont tendance à s'user un peu vite ! Peut-être que je fais trop de kilomètres avec !",5/5
Marlene | France | 07/11/2024,2024-11-07T18:54:32+0100,Ras,4/5
Isabelle | France | 07/11/2024,2024-11-07T18:26:31+0100,Glissant sur sol mouillé,4/5
Apolline | Femme | France | 07/11/2024,2024-11-07T14:58:42+0100,"Je les porte plusieurs fois par semaine pour de la marche depuis plus d'un an et franchement elles sont super. Confortable, bon amorti. Super rapport qualité/prix. En revanche elles ne sont pas imperméable. Mais pour le prix c'est parfait.",5/5
Philippe | France | 06/11/2024,2024-11-06T16:35:20+0100,"Utilisé pour de la marche rapide et footing light. Bon confort, bon maintien.",5/5
Isabelle | France | 06/11/2024,2024-11-06T11:03:49+0100,Bon rapport qualité prix. Conseil avec le sourire de la vendeuse,4/5
PATRICIA | Femme | France | 06/11/2024,2024-11-06T11:10:02+0100,déçu du produit acheté en juin 2024 et l arrière de la chaussure intérieur ce déchire déjà,2/5
Yohan | France | 05/11/2024,2024-11-05T12:55:06+0100,Look et très souple,5/5
JEAN LOUIS | France | 05/11/2024,2024-11-05T09:58:39+0100,Article conforme à mon attente,5/5
Vincent | France | 04/11/2024,2024-11-04T12:11:50+0100,Parfait,4/5
Valerie | France | 03/11/2024,2024-11-03T12:56:39+0100,Très bien,5/5
Lucile | Femme | France | 03/11/2024,2024-11-03T07:15:31+0100,Très bon produit pour débuter le trail.,5/5
MIREILLE | France | 02/11/2024,2024-11-02T18:46:32+0100,Chaussures achetées pour des séances de gym et pour de petites balades sur route ou chemin de terre.,5/5
CHRISTINE | France | 01/11/2024,2024-11-01T18:18:31+0100,"Excellent produit, très plaisant à porter.",5/5
Brigitte | France | 31/10/2024,2024-10-31T18:18:00+0100,"Bon produit, adapté à une large gamme de sports",4/5
Laurent | Femme | France | 31/10/2024,2024-10-31T08:44:41+0100,J'ai acheté ces chaussures pour faire de la marche active en plaine. Je n'ose plus les utiliser par temps humide car elles sont trop glissantes et j'ai peur de tomber.,2/5
tiphaine | France | 30/10/2024,2024-10-30T18:30:04+0100,Content de l'achat,5/5
Mylene | France | 29/10/2024,2024-10-29T22:33:17+0100,très confortable,5/5
Claire | France | 28/10/2024,2024-10-28T18:44:20+0100,"Utilisé au Parkour, très bonnes chaussures !",5/5
Corinne | France | 28/10/2024,2024-10-28T11:57:20+0100,Malgré un lassage très détendu j ai des fourmis qui apparaissent rapidement 🤔! J espère que ça va s améliorer...,3/5
Chantal | France | 28/10/2024,2024-10-28T09:12:49+0100,"Achat de la même paire de chaussure, cela me convient",5/5
Charlotte | France | 27/10/2024,2024-10-27T23:41:45+0100,Bien pour débuter,4/5
Emma | France | 28/10/2024,2024-10-28T15:37:18+0100,Lacet trop court,2/5
Alexandra | France | 27/10/2024,2024-10-27T18:33:23+0100,Très contente de mon achat,5/5
Céline | France | 27/10/2024,2024-10-27T18:03:13+0100,"Bon rapport qualité prix, utilisées en salle et en marche rapide, légère, bonne accroche...",5/5
Magali | France | 26/10/2024,2024-10-26T22:26:08+0200,"J'ai dû prendre 2 tailles au dessus sinon la couture appuyait sur mon hallux valgus et me faisait mal sans être en activité. Lors de mon 1er footing léger, douleur légère au mollet et ampoule au niveau du talon haut de la chaussure. À voir avec le temps pour l'instant, pas convaincue ...",3/5
Sarah | France | 26/10/2024,2024-10-26T19:48:41+0200,"Super rapport qualité prix, je recommande. J'adore la couleur.",5/5
Isabelle | France | 26/10/2024,2024-10-26T14:04:45+0200,"maintien bien le pied ,très légère",5/5
muriel | France | 25/10/2024,2024-10-25T18:51:54+0200,Essayer c est l adopté,5/5
Audrey | Femme | France | 25/10/2024,2024-10-25T16:33:26+0200,"Idéale pour le running ou la marche, confortables et légères",5/5
Nicolas | France | 25/10/2024,2024-10-25T09:06:48+0200,"Bon maintien, confortable",5/5
veronique | Femme | France | 25/10/2024,2024-10-25T07:02:59+0200,"Très bien, chaussures légères",5/5
Edith | France | 24/10/2024,2024-10-24T20:31:20+0200,Ce produit est très confortable. J’ai pris une pointure au-dessus de la mienne. Je m’en sers pour la marche et pour de petits footing. Ce produit fait vraiment l’affaire pour un coureur moyen qui veut faire quelques kilomètres dans la semaine. Bon rapport qualité prix.,5/5
Mohamed Abderahmane | France | 24/10/2024,2024-10-24T15:18:33+0200,Excellent produit,5/5
MARIE HELENE | Femme | France | 24/10/2024,2024-10-24T14:44:13+0200,"J'apprécie sa couleur,  j'apprécie la forme (pas allongée) j'apprécie son accroche j'apprécie son prix pour du sport à intensité modérée",4/5
Christophe | France | 23/10/2024,2024-10-23T18:11:37+0200,Ma fille l'utilise pour le sport au collège et elle est complètement satisfaite,5/5
Isabelle | France | 23/10/2024,2024-10-23T11:02:17+0200,j'achéte ce modéle car le maintien est bien pour baskets de sport au lycée et tarif moindre par rapport aux autres modéles. le tarif a toutefois augmenté de 5 euros en une seule fois c'est quand même excessif surtout que la paire de baskets n'a pas évolué dans la forme  prendre une pointure au dessus de la sienne pour etre bien,5/5
adeline | France | 22/10/2024,2024-10-22T21:33:12+0200,parfait pour les balades,5/5
Eric | France | 22/10/2024,2024-10-22T18:12:42+0200,"Bonne chaussures avec un bon amorti, pour débuter la course à pied",5/5
Elodie | Femme | France | 22/10/2024,2024-10-22T16:01:52+0200,notre filles est ravie de ces basket très confortables,5/5
Damien | France | 21/10/2024,2024-10-21T20:13:14+0200,bonne basket confortable,5/5
Christelle | France | 20/10/2024,2024-10-20T21:53:15+0200,"Chaussures parfait pour faire de la course à pied, agréable à porter, maintient bien le pied et chaussures légères, je suis très satisfaite de mon achat et je recommande.",5/5
Anne marie | France | 20/10/2024,2024-10-20T18:36:12+0200,"Elles sont très confortables, légères et surtout courent vite après mes petits fils 🤣. Je recommande",5/5
Jean-philippe | France | 20/10/2024,2024-10-20T17:09:37+0200,Très bon maintien dans les chaussures. Bonne adaptation au pied large. L amorti est suffisant pour une reprise de la course à pied en douceur.,5/5
Emy | France | 20/10/2024,2024-10-20T11:23:57+0200,Je m'en sers comme chaussures pour la marche sportive elles sont vraiment top! L'amorti est vraiment bien elles ne compriment pas les pieds et ont un look passe partout que demandez de mieux!,5/5
PHILIPPE | France | 19/10/2024,2024-10-19T20:48:05+0200,Bien Pour faire des petites sorties et des marches en campagne .,4/5
bruno | France | 19/10/2024,2024-10-19T18:00:30+0200,confortable ma fille les adore.,5/5
GREGORY | France | 19/10/2024,2024-10-19T14:57:08+0200,"Très bon produit , agréable à porter , bon amorti , je recommande ce produit !!!",5/5
karine | France | 18/10/2024,2024-10-18T18:49:42+0200,"Nickel, tient bien au pied et au sol",5/5
Carole | Femme | France | 18/10/2024,2024-10-18T05:49:53+0200,"J'avais déjà eu ce modèle dans une autre couleur, je suis très satisfaite de ce produit Kalenji",5/5
Valerie | France | 17/10/2024,2024-10-17T17:48:10+0200,Légères. Bon rapport qualité prix,5/5
NATHALIE | France | 17/10/2024,2024-10-17T10:03:27+0200,utilisées en salle ; parfait maintient,5/5
Patricia | France | 17/10/2024,2024-10-17T07:13:56+0200,Je suis satisfaite de mon achat et je recommande,5/5
NATHALIE | France | 16/10/2024,2024-10-16T19:28:38+0200,"Il me manque la petite boucle à l'arrière pour enfiler le talon, c'est dommage.",5/5
Bland | Femme | France | 16/10/2024,2024-10-16T18:33:31+0200,"Très bon produit  Un maintient parfait , chaussures légères et bon accroche même sur les chemins de campagne.  Très bon rapport qualité prix",5/5
florence | Femme | France | 16/10/2024,2024-10-16T17:48:20+0200,Bon rapport qualité/prix,4/5
jean-guy | France | 15/10/2024,2024-10-15T17:28:11+0200,ras,5/5
Catherine | France | 14/10/2024,2024-10-14T15:01:31+0200,"Après quelques utilisations, un léger trou se forme déjà au niveau du pouce... je suis déçue du peu de durabilité du produit. Je ne recommande pas.",2/5
Christine | France | 14/10/2024,2024-10-14T07:43:58+0200,"Bien pour le prix, manque d'adhésion sur le bout du pied, voir avec le temps, peut s'améliorer (chaussures encore neuves)",4/5
Valérie | France | 13/10/2024,2024-10-13T21:19:29+0200,Super pour le sport,5/5
Béatrice | France | 13/10/2024,2024-10-13T11:09:28+0200,Bonne basquette. Bon rapport qualité prix. On est trés bien dedans.,5/5
Yanko | France | 13/10/2024,2024-10-13T08:57:10+0200,ok,5/5
françoise | France | 12/10/2024,2024-10-12T20:01:20+0200,Super chaussures très agréables à porter.  Très satisfaite de cet achat,5/5
Michael | France | 12/10/2024,2024-10-12T19:52:28+0200,Très bon rapport qualité prix,5/5
Nathalie | Femme | France | 12/10/2024,2024-10-12T15:19:46+0200,Bon maintien du pied. Agréables à porter  Glissantes sur sol mouillé,4/5
Céline | France | 11/10/2024,2024-10-11T19:48:24+0200,Super basic pour mes 2 a 3 courses dans la semaine en tout cas pour débuter. Zero douleur comparé à une paire acheté près de 200 euros pour me retrouver avec des Cloques sous la voûte plantaire au bout de 20 min de course.,5/5
GENEVIEVE | Femme | France | 10/10/2024,2024-10-10T18:17:40+0200,Baskets confortable avec un bon amorti . Je travaille toute la journée avec et franchement très bien.,5/5
JOCELYNE | Femme | France | 10/10/2024,2024-10-10T17:24:00+0200,"Chaussure très sympa par le look, agréable et confortable",5/5
Sophie | France | 10/10/2024,2024-10-10T09:27:42+0200,Très confortable et légère.,4/5
Dominique | France | 10/10/2024,2024-10-10T19:46:41+0200,le seul reproche est la mauvaise qualité de la toile puisque celle-ci se perce au niveau des gros orteils malgré des soins de pédicure,1/5
monica | France | 09/10/2024,2024-10-09T21:31:23+0200,Bonne calite,5/5
CHRISTIAN | Homme | France | 09/10/2024,2024-10-09T18:43:17+0200,Bon produit de bonne qualité,4/5
Marine | Femme | France | 08/10/2024,2024-10-08T14:42:58+0200,Amorti bien les pb de genoux,5/5
Mouhcine | Homme | France | 08/10/2024,2024-10-08T14:15:01+0200,très pratique,5/5
emilie | France | 08/10/2024,2024-10-08T08:53:56+0200,Bien,4/5
VALERIE | France | 08/10/2024,2024-10-08T01:42:00+0200,Ravie de mon achat. Utilisation des chaussures sans aucun problème. Je recommande,5/5
Thomas | France | 07/10/2024,2024-10-07T15:47:58+0200,"pour du sport en intérieur, elles sont très confortables.",5/5
Florent | Femme | France | 06/10/2024,2024-10-06T19:05:06+0200,Portées au quotidien pour les petites sorties,4/5
SYLVIANE | France | 06/10/2024,2024-10-06T15:04:44+0200,Conforme.  Produit satisfaisant,5/5
GERALDINE | France | 06/10/2024,2024-10-06T12:12:05+0200,"Très confortable, bon maintien",5/5
Charline | France | 06/10/2024,2024-10-06T09:03:33+0200,"Adaptées pour chemins en forêt , nature , trail mais pas adaptées pour courir sur route",5/5
LYSIANE | Femme | France | 06/10/2024,2024-10-06T08:50:15+0200,Confortables et légères,5/5
Josephine | France | 05/10/2024,2024-10-05T20:51:24+0200,Très agréable et très confortable,5/5
claire  | France | 05/10/2024,2024-10-05T18:51:32+0200,Parfait pour marcher tous les jours,5/5
Annie | France | 05/10/2024,2024-10-05T12:43:52+0200,Correspond au produit annoncé. je le recommande,5/5
Regine | France | 04/10/2024,2024-10-04T23:22:33+0200,ma troisiéme paire,5/5
Lucile | Femme | France | 04/10/2024,2024-10-04T22:42:13+0200,Achat tout récent mais tout a fait satisfaite de ma première sortie,5/5
Didier | Femme | France | 04/10/2024,2024-10-04T16:09:09+0200,Excellent rapport qualité-prix ! Très jolie couleur,5/5
Eleonore | Femme | France | 04/10/2024,2024-10-04T13:54:24+0200,chaussures utilisées pour courir sur sentier et un peu de route. Très confortables et légères. A voir dans la durée,4/5
sylvie | Femme | France | 04/10/2024,2024-10-04T12:48:10+0200,"J'utilise pour de la marche rapide, 1h(30), environ 5 fois par semaine. Semelle et amorti très agréable. Je ne cours pas. J'en suis très contente pour mon utilisation.",4/5
Richard | France | 04/10/2024,2024-10-04T11:30:21+0200,Impeccable.,5/5
Sabine | France | 04/10/2024,2024-10-04T10:05:17+0200,parfait,5/5
Ghislaine | France | 03/10/2024,2024-10-03T22:04:31+0200,Très confortable achat pour la marche de tous les jours en ville ou sur chemin. Porteuse d'une prothèse de jambe ce modèle est léger et surtout n'a pas ou peu de talon c'est super!!,5/5
Déborah | Femme | France | 03/10/2024,2024-10-03T18:15:27+0200,Elles tiennent bien aux pieds et amortissent les chocs (propos de ma fille utilisatrice de 11 ans),5/5
Philippe | France | 03/10/2024,2024-10-03T11:03:22+0200,"look sympa, par contre au niveau de la pointure c'est soit un peu petit ou un peu trop grand, mais dans l ensemble c'est correct vu le prix",3/5
Michelle | France | 03/10/2024,2024-10-03T00:40:00+0200,Tres bon produit.,5/5
michel | France | 01/10/2024,2024-10-01T20:11:55+0200,Ras,5/5
CLAUDETTE | France | 01/10/2024,2024-10-01T19:12:09+0200,Super,5/5
Richard | Femme | France | 30/09/2024,2024-09-30T22:30:26+0200,"Très bien, j'en suis très contente!!",5/5
Lil | Femme | France | 30/09/2024,2024-09-30T20:12:09+0200,Très bien,5/5
Annie | France | 30/09/2024,2024-09-30T18:29:29+0200,Un peu large pour moi.,4/5
DOLORES | Femme | France | 30/09/2024,2024-09-30T18:25:48+0200,"Très bon produit, souple, respirant,agréable à porter",5/5
YOHAN | Homme | France | 30/09/2024,2024-09-30T11:43:54+0200,basket randonnée très bien,5/5
Geraldine | France | 30/09/2024,2024-09-30T10:24:14+0200,"Achetées en 2022, j'en reprends aujourd'hui car elles sont usées, je marche beaucoup avec. j'espère que la qualité du produit est la même qu'il y a deux ans. lavage en machine, sechage rapide, légères, confortable.",5/5
Nicolas | Femme | France | 29/09/2024,2024-09-29T21:16:18+0200,"les lacets tiennent très bien, pas besoin de les refaire tous les 10 mètres!",5/5
CLAUDINE | France | 29/09/2024,2024-09-29T15:17:22+0200,bon rapport qualité prix,3/5
GAELLE | France | 29/09/2024,2024-09-29T13:41:16+0200,Très bon produit,5/5
Les Touranselles | Femme | France | 29/09/2024,2024-09-29T11:49:24+0200,Baskets idéales pour les cours d’EPS. De bonne qualité et confortable selon la fille.,5/5
VERONIQUE | Femme | France | 29/09/2024,2024-09-29T09:15:47+0200,"je les utilise depuis 6 mois uniquement pour marcher en ville, je ne fais pas de sport avec or elles sont déjà très abîmées : le bout qui se décolle, le dessin aui se décolle aussi... je suis très déçue par cet article.",2/5
Daniel | Femme | France | 29/09/2024,2024-09-29T08:54:46+0200,Très bon produit,5/5
Stephanie | France | 28/09/2024,2024-09-28T19:31:21+0200,Très confortables et efficaces mais je trouve que les crans s'usent un peu trop rapidement. Cela reste néanmoins d'un très bon rapport qualité prix.,4/5
Adeline | France | 28/09/2024,2024-09-28T19:15:25+0200,Très bien,5/5
Veronique | France | 28/09/2024,2024-09-28T19:11:01+0200,Très bien,5/5
Michel | France | 28/09/2024,2024-09-28T18:26:04+0200,Déçu par la qualité et le prix,3/5
Aude | France | 30/09/2024,2024-09-30T17:48:57+0200,"Bonjour amorti, agréable à porter",5/5
Mickael | France | 27/09/2024,2024-09-27T22:18:00+0200,Correct. Chaussure agréable,5/5
FLORENCE | Femme | France | 27/09/2024,2024-09-27T19:42:37+0200,Satisfaite de ces baskets,5/5
Linda | France | 26/09/2024,2024-09-26T21:19:28+0200,Parfait,5/5
Christian | Femme | France | 26/09/2024,2024-09-26T20:23:10+0200,"Chaussures confortables, légères et élégantes , adaptées aussi pour fitness en salle de sport à l'intérieur.",5/5
Agnes | France | 26/09/2024,2024-09-26T18:42:14+0200,"confortable, bon maintien",5/5
Caroline | France | 25/09/2024,2024-09-25T19:16:27+0200,Très bonnes chaussures. Ce n'est pas ma première paire. Pour être plus à l'aise j'ai pris une pointure de plus.,5/5
LEA | Femme | France | 25/09/2024,2024-09-25T18:45:38+0200,"Deuxième paire du type que j'achète. La précédente a tenu 8 ans ! Bon grip, bonne tenue, assez respirable. Amorti correct, niquel pour marcher, moins pour courir.",5/5
MARJORIE | France | 24/09/2024,2024-09-24T11:57:35+0200,Parfait pour le running et la marche,5/5
Elodie | France | 23/09/2024,2024-09-23T22:01:40+0200,Bonne adhérence et bonne flexibilité,5/5
irene | France | 22/09/2024,2024-09-22T14:43:56+0200,Nickel,5/5
Aurelia | France | 22/09/2024,2024-09-22T08:00:16+0200,parfaite pour la course sur tapis. très jolie. j'aime beaucoup,5/5
Frédéric | France | 22/09/2024,2024-09-22T00:48:30+0200,RAS,5/5
Isabelle | France | 21/09/2024,2024-09-21T21:53:38+0200,"Chaussures de ma fille, pratique pour le sport mais aussi pour tout les jours",5/5
Isabelle | France | 21/09/2024,2024-09-21T20:30:35+0200,J'achète depuis plusieurs années ce modèle pour faire de la marche aussi bien dans les bois que sur du plat ou du bitume. Souffrant d'un problème de voûte plantaire j'ai peiné à trouver un modèle adapté. Ces chaussures sont parfaites pour moi.,5/5
THIBAULT | Homme | France | 21/09/2024,2024-09-21T18:35:42+0200,2eme paire que j achète. Très bon rapport qualité prix.,5/5
Frederique | France | 21/09/2024,2024-09-21T18:19:54+0200,Bon maintien mais tige peu souple. A voir avec le tps.,5/5
Isabelle | France | 20/09/2024,2024-09-20T17:49:45+0200,Chaussure de sport confortable qui accroche bien au sol. Le look va avec bcp de tenues et elles sont très confortables. J'aime bcp le maintien du pied.,5/5
EDITH | France | 20/09/2024,2024-09-20T16:46:22+0200,"confortables, contente de mon achat",5/5
Inès | Femme | France | 20/09/2024,2024-09-20T13:04:10+0200,Chaussures de sport femme,5/5
Fatima | Femme | France | 18/09/2024,2024-09-18T18:05:57+0200,Très bon produit,5/5
clement | France | 18/09/2024,2024-09-18T09:38:48+0200,confortable,5/5
melanie | France | 18/09/2024,2024-09-18T07:43:11+0200,juste pris une taille au dessus,5/5
Patricia | France | 17/09/2024,2024-09-17T13:25:45+0200,Agréable à porter,5/5
